Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2019-MER-0040	2019-MER-0040	pre-matched	SRR22858892	CFIAFB20110143	Meat	Meat	O157:H7	Stx2a
2019-MER-0054	2019-MER-0054	pre-matched	SRR18215049	CFIAFB20190157	Meat	Lamb	O5:H19	Stx2b,Stx1c
2019-MER-0057	2019-MER-0057	pre-matched	SRR28490880	CFIAFB20190189	Meat	Lamb	O128:H2	Stx1c,Stx2b
2019-MER-0102	2019-MER-0102	pre-matched	SRR22858706	CFIAFB20180264	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-MER-0123	2019-MER-0123	pre-matched	SRR28490874	CFIAFB20190159	Meat	Lamb	O128:H2	Stx2b,Stx1c
2019-MER-0137	2019-MER-0137	pre-matched	SRR28538989	CFIAFB20190194	Meat	Lamb	OUT:H21	Stx2i
2019-MER-0138	2019-MER-0138	pre-matched	SRR28490848	CFIAFB20190195	Meat	Lamb	OUT:H21	Stx2i
2019-MER-0194	2019-MER-0194	pre-matched	SRR28490822	CFIAFB20190179	Meat	Lamb	O146:H8	Stx1c
2019-MER-0212	2019-MER-0212	pre-matched	SRR22858866	CFIAFB20090264	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-MER-0213	2019-MER-0213	pre-matched	SRR22858895	CFIAFB20120189	Meat	Meat	O157:H7	Stx2a
2019-MER-0216	2019-MER-0216	pre-matched	SRR22858810	CFIAFB20160178	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-MER-0224	2019-MER-0224	pre-matched	SRR12039817	CFIAFB20180383	Flour	Flour	O103:H25	Stx1a
2019-MER-0225	2019-MER-0225	pre-matched	SRR18215051	CFIAFB20180558	Meat	Lamb	O176:H4	Stx2b,Stx1c
2019-MER-0227	2019-MER-0227	pre-matched	SRR22858712	CFIAFB20180559	Meat	Meat	O174:H21	Stx2c
2019-MER-0269	2019-MER-0269	pre-matched	SRR28490903	CFIAFB20200013	Meat	Meat	O91:H14	Stx2b,Stx1a
2019-SEQ-0093	2019-SEQ-0093	pre-matched	SRR28490826	CFIAFB20190183	Meat	Lamb	OUT:H8	Stx1c
2019-SEQ-0137	2019-SEQ-0137	pre-matched	SRR28490820	CFIAFB20190190	Meat	Lamb	O146:H8	Stx1c
2019-SEQ-0145	2019-SEQ-0145	pre-matched	SRR28490870	CFIAFB20190191	Meat	Lamb	OUT:H2	Stx2b,Stx1c
2019-SEQ-0212	2019-SEQ-0212	pre-matched	SRR28490873	CFIAFB20190192	Meat	Lamb	O128:H2	Stx2b,Stx1c
2019-SEQ-0254	2019-SEQ-0254	pre-matched	SRR22715054	CFIAFB20170273	Meat	Meat	O55:H12	Stx1a
2019-SEQ-0300	2019-SEQ-0300	pre-matched	SRR22858798	CFIAFB20150154	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-SEQ-0328	2019-SEQ-0328	pre-matched	SRR28490857	CFIAFB20190226	Meat	Meat	O88:H25	Stx2a,Stx1a
2019-SEQ-0356	2019-SEQ-0356	pre-matched	SRR28490844	CFIAFB20190197	Meat	Lamb	O5:H19	Stx1c
2019-SEQ-0385	2019-SEQ-0385	pre-matched	SRR28490869	CFIAFB20190199	Meat	Lamb	O128:H2	Stx2b,Stx1c
2019-SEQ-0398	2019-SEQ-0398	pre-matched	SRR28490839	CFIAFB20190168	Meat	Lamb	O76:H19	Stx1c
2019-SEQ-0516	2019-SEQ-0516	pre-matched	SRR28490888	CFIAFB20190201	Meat	Meat	O109:H5	Stx1a
2019-SEQ-0782	2019-SEQ-0782	pre-matched	SRR28490827	CFIAFB20190214	Meat	Lamb	OUT:H26	Stx2b,Stx1c
2019-SEQ-1011	2019-SEQ-1011	pre-matched	SRR28490868	CFIAFB20190258	Meat	Meat	OUT:H2	Stx2b,Stx1c
2019-SEQ-1012	2019-SEQ-1012	pre-matched	SRR28490893	CFIAFB20190259	Meat	Meat	O176:H4	Stx1c
2019-SEQ-1083	2019-SEQ-1083	pre-matched	SRR28490843	CFIAFB20190289	Meat	Meat	OUT:H19	Stx2b,Stx1c
2019-SEQ-1198	2019-SEQ-1198	pre-matched	SRR28490864	CFIAFB20190299	Meat	Meat	O38:H26	Stx2b,Stx1c
2019-SEQ-1223	2019-SEQ-1223	pre-matched	SRR28490851	CFIAFB20200006	Meat	Meat	OUT:H2	Stx2c
2019-SEQ-1242	2019-SEQ-1242	pre-matched	SRR28490860	CFIAFB20200007	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-SEQ-1265	2019-SEQ-1265	pre-matched	SRR28490855	CFIAFB20200036	Meat	Meat	O98:H25	Stx1a
2019-SEQ-1266	2019-SEQ-1266	pre-matched	SRR28490856	CFIAFB20200037	Meat	Meat	O8:H23	Stx1a
2019-SEQ-1270	2019-SEQ-1270	pre-matched	SRR28490875	CFIAFB20200041	Meat	Meat	O128:H2	Stx2b,Stx1c
2019-SEQ-1525	2019-SEQ-1525	pre-matched	SRR28490842	CFIAFB20200052	Meat	Meat	O5:H19	Stx1c
2019-STH-0001	2019-STH-0001	pre-matched	SRR28490862	CFIAFB20190215	Meat	Meat	O104:H7	Stx1c
2019-STH-0002	2019-STH-0002	pre-matched	SRR28490884	CFIAFB20190216	Meat	Meat	O132:H18	Stx2a
2020-CAL-0073	2020-CAL-0073	pre-matched	SRR28490879	CFIAFB20210043	Meat	Meat	O128:H2	Stx2b,Stx1c
2020-DAR-0002	2020-DAR-0002	pre-matched	SRR28490828	CFIAFB20200159	Meat	Meat	O181:H16	Stx2b,Stx1c
2020-DAR-0004	2020-DAR-0004	pre-matched	SRR28490904	CFIAFB20200173	Meat	Meat	O91:H14	Stx2b,Stx1a
2020-DAR-0005	2020-DAR-0005	pre-matched	SRR28490905	CFIAFB20200174	Meat	Meat	O91:H14	Stx2b
2020-DAR-0008	2020-DAR-0008	pre-matched	SRR28490894	CFIAFB20200177	Meat	Meat	O176:H4	Stx2b,Stx1c
2020-DAR-0009	2020-DAR-0009	pre-matched	SRR28490863	CFIAFB20200178	Meat	Meat	O5:H19	Stx2b,Stx1c
2020-DAR-0029	2020-DAR-0029	pre-matched	SRR28490832	CFIAFB20210012	Meat	Meat	O87:H16	Stx2b,Stx2b
2020-DAR-0032	2020-DAR-0032	pre-matched	SRR28490840	CFIAFB20210015	Meat	Meat	O76:H19	Stx2b
2020-DAR-0036	2020-DAR-0036	pre-matched	SRR28490877	CFIAFB20210019	Meat	Meat	O128:H2	Stx2b,Stx1c
2020-SEQ-0005	2020-SEQ-0005	pre-matched	SRR28490882	CFIAFB20200082	Meat	Meat	OUT:H29	Stx2b
2020-SEQ-0075	2020-SEQ-0075	pre-matched	SRR28490907	CFIAFB20200113	Meat	Meat	O157:H7	Stx1a,Stx2a
2020-SEQ-0076	2020-SEQ-0076	pre-matched	SRR28490871	CFIAFB20200114	Meat	Meat	O157:H7	Stx2a
2020-SEQ-0219	2020-SEQ-0219	pre-matched	SRR28490902	CFIAFB20200140	Meat	Meat	O91:H14	Stx2b,Stx1a
2020-SEQ-0289	2020-SEQ-0289	pre-matched	SRR28490849	CFIAFB20200033	Meat	Meat	O38:H26	Stx2b,Stx1c
2020-SEQ-0292	2020-SEQ-0292	pre-matched	SRR28490865	CFIAFB20200125	Meat	Meat	OUT:H8	Stx2b,Stx1c
2020-SEQ-0302	2020-SEQ-0302	pre-matched	SRR28490901	CFIAFB20200148	Meat	Meat	O157:H7	Stx2a
2020-SEQ-0314	2020-SEQ-0314	pre-matched	SRR28490836	CFIAFB20200149	Meat	Meat	O128:H2	Stx2b,Stx1c
2020-SEQ-0325	2020-SEQ-0325	pre-matched	SRR28490898	CFIAFB20200162	Meat	Meat	O91:H14	Stx2b,Stx1a
2020-SEQ-0326	2020-SEQ-0326	pre-matched	SRR28490867	CFIAFB20200163	Meat	Meat	O91:H14	Stx2b,Stx1a
